OrderID,Date,Product,Category,Region,SalesRep,Quantity,UnitPrice
ORD1086,2024-01-01,Wireless Mouse,Accessories,East,Sneha Patel,8,499.0
ORD1100,2024-01-01,USB-C Hub,Accessories,South,Priya Singh,3,1299.0
ORD1154,2024-01-01,Cable Organizer,Accessories,North,Amit Sharma,12,299.0
ORD1003,2024-01-01,Monitor 24in,Electronics,East,Sneha Patel,13,8999.0
ORD1573,2024-01-01,Wireless Mouse,Accessories,South,Amit Sharma,3,499.0
ORD1126,2024-01-01,Bluetooth Speaker,Electronics,East,Priya Singh,7,1799.0
ORD1495,2024-01-04,Webcam HD,Electronics,North,Rohit Verma,8,1999.0
ORD1225,2024-01-04,Cable Organizer,Accessories,South,Priya Singh,9,299.0
ORD1504,2024-01-04,USB-C Hub,Accessories,East,Rohit Verma,1,1299.0
ORD1112,2024-01-05,Cable Organizer,Accessories,South,Sneha Patel,6,299.0
ORD1443,2024-01-05,Laptop Stand,Furniture,South,Sneha Patel,12,899.0
ORD1025,2024-01-06,Mechanical Keyboard,Accessories,East,Karan Mehta,10,2499.0
ORD1521,2024-01-06,Wireless Mouse,Accessories,West,Priya Singh,10,499.0
ORD1042,2024-01-06,Bluetooth Speaker,Electronics,North,Priya Singh,12,1799.0
ORD1248,2024-01-07,Bluetooth Speaker,Electronics,North,Priya Singh,12,1799.0
ORD1207,2024-01-07,USB-C Hub,Accessories,East,Amit Sharma,5,1299.0
ORD1471,2024-01-08,USB-C Hub,Accessories,West,Amit Sharma,11,1299.0
ORD1039,2024-01-08,Mechanical Keyboard,Accessories,West,Amit Sharma,3,2499.0
ORD1141,2024-01-09,Mechanical Keyboard,Accessories,North,Rohit Verma,12,2499.0
ORD1407,2024-01-10,USB-C Hub,Accessories,South,Rohit Verma,2,1299.0
ORD1393,2024-01-11,Mechanical Keyboard,Accessories,West,Amit Sharma,10,2499.0
ORD1499,2024-01-11,Laptop Stand,Furniture,South,Priya Singh,8,899.0
ORD1143,2024-01-11,Cable Organizer,Accessories,North,Priya Singh,2,299.0
ORD1458,2024-01-11,Mechanical Keyboard,Accessories,East,Rohit Verma,5,2499.0
ORD1221,2024-01-12,Laptop Stand,Furniture,East,Amit Sharma,14,899.0
ORD1089,2024-01-12,Bluetooth Speaker,Electronics,East,Karan Mehta,5,1799.0
ORD1327,2024-01-13,Wireless Mouse,Accessories,East,Rohit Verma,3,499.0
ORD1324,2024-01-14,Laptop Stand,Furniture,West,Karan Mehta,10,899.0
ORD1492,2024-01-14,Power Bank,Electronics,West,Amit Sharma,7,1499.0
ORD1174,2024-01-15,Wireless Mouse,Accessories,South,Rohit Verma,4,499.0
ORD1101,2024-01-15,USB-C Hub,Accessories,West,Unassigned,14,1299.0
